teilnehmer,szenario,zeitpunkt,modalitaet,text
02,szenario_2,00:01:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Daten, insbesondere dem hohen RMSSD-Wert und niedrigem Puls, welche auf niedrigen Stress hinweisen."
02,szenario_2,00:01:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und RMSSD, die auf einen entspannten Zustand hinweisen."
02,szenario_2,00:01:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung auf den Bildschirm auffällig ist."
02,szenario_2,00:02:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Interaktion mit dem Bildschirm, was eine klare Ablenkung signalisiert."
02,szenario_2,00:02:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, da diese eine normale und ausgeglichene Verfassung anzeigen."
02,szenario_3,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung stark auf Ablenkung hinweist."
02,szenario_3,00:00:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Daten, insbesondere der normalen Pulsrate und der entspannten Körperhaltung."
02,szenario_3,00:00:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physikalischen Bewegung und dem Pulswert, die beide keine deutlichen Stressindikatoren zeigen."
02,szenario_3,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, das auf eine fokussierte und kontrollierte Haltung hinweist."
02,szenario_3,00:00:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und der EDA, die im normalen Bereich liegen."
02,szenario_3,00:00:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Physiologie, insbesondere dem normalen Puls und der moderaten EDA-Aktivität."
02,szenario_3,00:01:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Daten, insbesondere dem Puls, der eine gewisse Aktivierung zeigt."
02,szenario_3,00:01:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser über dem Ruhewert liegt."
02,szenario_3,00:01:20,Unklar,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und der Aufmerksamkeit hinsichtlich der Fahrsituation.
02,szenario_3,00:01:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und EDA, die auf einen moderaten Stress hinweisen."
02,szenario_3,00:01:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Körperhaltung zeigt, dass die Person übernahmebereit wirkt."
02,szenario_3,00:01:50,Unklar,Dominierende Datenquelle: Die Einschätzung basiert überwiegend auf der Beobachtung der physischen Haltung und der Fokusrichtung der Person.
02,szenario_3,00:02:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser einen klaren Hinweis auf einen erhöhten Stress zeigt."
02,szenario_3,00:02:10,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere Puls und EDA, haben die Einschätzung des Stressniveaus maßgeblich beeinflusst."
02,szenario_3,00:02:20,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der erhöhte Puls, beeinflussen die Einschätzung stark, da sie deutliche Anzeichen von Stress zeigen."
02,szenario_3,00:02:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten (Puls und EDA), da diese auf ein mittleres Stressniveau hindeuten."
02,szenario_3,00:02:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da diese deutlich erhöht ist."
02,szenario_3,00:02:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da diese deutlich erhöht ist."
03,szenario_1,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Ablenkung, da der Blick klar auf den Bildschirm gerichtet ist."
03,szenario_1,00:00:10,Bild,Dominierende Datenquelle: Die visuelle Beobachtung des Blickverhaltens dominiert die Einschätzung der Ablenkung.
03,szenario_1,00:00:20,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Aufmerksamkeit, die stark auf das Display gerichtet ist."
03,szenario_1,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da das Blickverhalten stark auf Ablenkung hindeutet."
03,szenario_1,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körperhaltung und der Ausrichtung des Blickes, da diese einen guten Hinweis auf den mentalen Fokus geben."
03,szenario_1,00:00:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung wurde hauptsächlich durch die physiologischen Werte beeinflusst, speziell der Puls und die EDA."
03,szenario_1,00:01:00,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, da diese einen wichtigen Hinweis auf Entspannung und Ablenkung gibt."
03,szenario_1,00:01:10,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, da diese relativ entspannt wirkt."
03,szenario_1,00:01:20,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, die relativ entspannt erscheint."
03,szenario_1,00:01:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Blickrichtung auf den Bildschirm aufmerksamkeitsstark erscheint."
03,szenario_1,00:01:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung entscheidend für die Ablenkungsbewertung ist."
03,szenario_1,00:01:50,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bewegungsrate, die gering ist und auf Entspannung hinweist."
03,szenario_1,00:02:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser im normalen Bereich liegt und eine niedrige Stressniveau signalisiert."
03,szenario_1,00:02:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die sichtbare Ablenkung durch den Blick auf den Bildschirm ausschlaggebend war."
03,szenario_1,00:02:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, die auf einen niedrigen Stresslevel hinweisen."
03,szenario_1,00:02:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Daten, insbesondere dem stabilen Puls und niedrigen EDA, die auf einen niedrigen Stresslevel hinweisen."
03,szenario_1,00:02:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls, der im normalen Bereich liegt."
03,szenario_1,00:02:50,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der Puls und die EDA, haben die Einschätzung des niedrigen Stressniveaus maßgeblich beeinflusst."
03,Musikintervention,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, das stark auf Ablenkung hinweist."
03,Musikintervention,00:00:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Werte, da der Puls und die EDA-Werte auf geringe Stresslevel hindeuten."
03,Musikintervention,00:00:20,Unklar,"Dominierende Datenquelle: Die physische Körperhaltung und Bewegungsdaten zeigen nur sehr geringe Bewegungsintensität, was auf niedrigen Stress und Ablenkung hinweist."
03,Musikintervention,00:00:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und den gemessenen Puls- und EDA-Werten, die keine erhöhten Anzeichen zeigen."
03,Musikintervention,00:00:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, die im unauffälligen Bereich liegen und wenig Stress oder Ablenkung andeuten."
03,Musikintervention,00:00:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickausrichtung deutlich auf Ablenkung hindeutet."
03,Musikintervention,00:01:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und der EDA, die beide auf einen niedrigen Stresslevel hinweisen."
03,Musikintervention,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Ablenkung des Blickes, da dies einen klaren Fokus auf den Bildschirm zeigt."
03,Musikintervention,00:01:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Physiologie, insbesondere dem Puls und der EDA, die beide niedrige Werte aufweisen."
03,Musikintervention,00:01:30,Physiologie,"Dominierende Datenquelle: Die Bewertung basiert hauptsächlich auf den physiologischen Daten, insbesondere dem Puls und der Bewegung."
03,Musikintervention,00:01:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Blickverhalten, das eindeutig auf Ablenkung hinweist."
03,Musikintervention,00:01:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, besonders dem normalen Puls und der niedrigen EDA."
03,szenario_2,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung und Körperhaltung eine deutliche Ablenkung zeigen."
03,szenario_2,00:00:10,Beides,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, die ein entspanntes Bild des Zustands zeigen."
03,szenario_2,00:00:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung auf den Bildschirm deutlich sichtbar ist."
03,szenario_2,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Interaktion mit dem Infotainmentsystem deutlich wahrnehmbar ist."
03,szenario_2,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Analyse der Blickrichtung, da diese auf eine prägnante Ablenkung hinweist."
03,szenario_2,00:00:50,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körperhaltung und Blickrichtung.
03,szenario_2,00:01:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, insbesondere der Ausrichtung auf den Bildschirm, die eine hohe Ablenkung zeigt."
03,szenario_2,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die abgewendete Konzentration auf den Bildschirm deutlich sichtbar ist."
03,szenario_2,00:01:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bilddatenquelle, da die Blickrichtung auf den Bildschirm eindeutig von Ablenkung zeugt."
03,szenario_2,00:01:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da es klar zeigt, dass die Person auf das Display konzentriert ist."
03,szenario_2,00:01:40,Bild,"Dominierende Datenquelle: Die Einschätzung wird hauptsächlich durch das Bild beeinflusst, da die Blickrichtung auf den Bildschirm eine deutliche Ablenkung zeigt."
03,szenario_2,00:01:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung deutlich sichtbar ist."
03,szenario_2,00:02:00,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körperhaltung und der Interaktion mit dem Bildschirm.
03,szenario_2,00:02:10,Bild,Dominierende Datenquelle: Die Einschätzung der Ablenkung basiert hauptsächlich auf der visuellen Beobachtung des Blickverhaltens.
03,szenario_2,00:02:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Werte wie Puls und EDA, da diese unter normalen und ruhigen Bedingungen liegen."
03,szenario_3,00:00:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, die auf eine niedrige Stress- und Ablenkungsstufe hindeuten."
03,szenario_3,00:00:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser im normalen Bereich liegt."
03,szenario_3,00:00:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung beruht hauptsächlich auf der physiologischen Werte, da diese im Normbereich liegen und auf einen entspannten Zustand hindeuten."
03,szenario_3,00:00:30,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und der Handhaltung am Lenkrad, da keinerlei Anzeichen von Stress oder hoher Ablenkung vorliegen."
03,szenario_3,00:00:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da sie im normalen Bereich liegt und eine geringe EDA angezeigt wird, was auf geringe Stress und Ablenkung hinweist."
03,szenario_3,00:00:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, der im normalen Bereich ist und keine Zeichen für Stress zeigt."
03,szenario_3,00:01:00,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, da diese einen wesentlichen Einfluss auf die Beurteilung hat."
03,szenario_3,00:01:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Daten, insbesondere dem normalen Pulswert."
03,szenario_3,00:01:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Körperhaltung und der Fokus auf das Fahrszenario deutlicher sind."
03,szenario_3,00:01:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und dem Puls, da diese auf relative Entspannung und geringe Ablenkung hinweisen."
03,szenario_3,00:01:40,Bild,"Dominierende Datenquelle: Das Bild hat die Einschätzung besonders beeinflusst, da die Körperhaltung sehr ruhig und fokussiert wirkt."
03,szenario_3,00:01:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere auf dem Puls, der leicht erhöht ist."
03,szenario_3,00:02:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten (Puls und RMSSD), die eine entspannte und wenig gestresste Situation beschreiben."
03,szenario_3,00:02:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Daten, insbesondere dem Puls und der Bewegung, da diese Stabilität und geringe Stress- oder Ablenkungsindikatoren zeigen."
03,szenario_3,00:02:20,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der Puls und die EDA, beeinflussen die Einschätzung maßgeblich, da sie auf eine sehr geringe Stressbelastung hinweisen."
03,szenario_3,00:02:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und der EDA, da diese auf einen niedrigen Stresslevel hinweisen."
03,szenario_3,00:02:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Messwerten, insbesondere der Pulsrate und der EDA, die beide im niedrigen Bereich liegen."
04,szenario_1,00:00:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Physiologie, insbesondere dem Puls und EDA-Wert, die auf moderate Stresslevel hinweisen."
04,szenario_1,00:00:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der EDA, da sie einen moderat erhöhten Wert zeigt, was typischerweise mit Stress und reduzierter Entspannung assoziiert wird."
04,szenario_1,00:00:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung und die steife Haltung maßgeblich die Interpretation beeinflussen."
04,szenario_1,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildquelle, da die Körperhaltung und Blickrichtung signifikant waren."
04,szenario_1,00:00:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da diese ein entscheidender Indikator für Stress ist."
04,szenario_1,00:00:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da das Blickverhalten auf den Bildschirm stark ablenkend wirkt."
04,szenario_1,00:01:00,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der erhöhte Puls und EDA, beeinflussen die Einschätzung am stärksten."
04,szenario_1,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, insbesondere der deutlich abgelenkte Blick auf den Bildschirm."
04,szenario_1,00:01:20,Physiologie,"Dominierende Datenquelle: Die psychophysiologischen Daten, insbesondere die EDA-Werte, beeinflussen die Einschätzung maßgeblich, da sie auf ein mittleres Stressniveau hinweisen."
04,szenario_1,00:01:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Blickverhalten, welches eine klare Ablenkung zeigt."
04,szenario_1,00:01:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser erhöht ist."
04,szenario_1,00:01:50,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der Puls und die EDA, haben die Einschätzung am stärksten beeinflusst, da sie direkte Hinweise auf Stressreaktionen und Aufmerksamkeit geben."
04,szenario_1,00:02:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Körperhaltung und Blickrichtung die Wahrnehmung und mentale Zustände deutlicher beeinflussen."
04,szenario_1,00:02:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung und Haltung wichtige Hinweise geben."
04,szenario_1,00:02:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die visuelle Aufmerksamkeit offensichtlich auf den Bildschirm gerichtet ist."
04,szenario_1,00:02:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung auf den Bildschirm stark auf Ablenkung hinweist."
04,szenario_1,00:02:40,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der Puls, haben die Einschätzung maßgeblich beeinflusst."
04,szenario_1,00:02:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Blickrichtung und Körperhaltung entscheidend für die Bewertung der Ablenkung sind."
04,Musikintervention,00:00:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da diese deutlich erhöht ist."
04,Musikintervention,00:00:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem abgelenkten Blickverhalten, da der Fokus deutlich auf dem Bildschirm liegt."
04,Musikintervention,00:00:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Pulswert, da dieser leicht erhöht ist."
04,Musikintervention,00:00:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere der Pulsrate, da diese einen klaren Hinweis auf den Stresslevel geben."
04,Musikintervention,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Blickrichtung enorme Ablenkung zeigt."
04,Musikintervention,00:00:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, besonders dem Puls und EDA-Wert."
04,Musikintervention,00:01:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser leicht erhöht ist."
04,Musikintervention,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die visuelle Aufmerksamkeit auf den Bildschirm gerichtet ist und somit die Ablenkung stark beeinflusst."
04,Musikintervention,00:01:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und dem Puls, da beide Hinweise auf einen niedrig bis mittleren Stress- und Entspannungszustand geben."
04,Musikintervention,00:01:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, da sie keine ausgeprägten Stressmerkmale aufweisen."
04,Musikintervention,00:01:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, der leicht erhöht ist und so den Stress und die Entspannung beeinflusst."
04,Musikintervention,00:01:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser deutlich erhöht ist."
